MARCA,MODELO,CODIGO_INFORME_TECNICO,FECHA_HOML,FOOT_PRINT_MT2,AÑO,TIPO_LDV,CATEGORIA_PROPULSION,RUT,IMP_COD,EMIS_NORMA,CATEGORIA_VH,PESO_BRUTO_VH_KG,TRANSMISION,EMIS_CO2_EQUIV,REND_EQUIV_KML,N2O_GKM,MP_GKM,NP,HCHO_MGKM,HC_GKM,HC_NOX_GKM,HCNM_GKM,NMOG_NOX_GKM,NOX_GKM,NMOG_GKM,CO_GKM
jaguar,"xf 2,2 lts. dohc sedan 4p. t/a motor diesel",JG4949E51212S00-8,2013-01-04,5.460193,2013,liviano,ice,96.899.100-0,DITE968991000,euro 5,lpd,2320.0,A,139.0,16.7,0.0,0.00115,0.0,0.0,0.0,0.1644,0.0,0.0,0.07705,0.0,0.06
jaguar,"xf 2,0t lts. dohc sedan 4p. t/a motor otto",JG4948E50713S00-0,2013-01-04,5.460193,2013,liviano,ice,96.899.100-0,DITE968991000,euro 5,lpo,2230.0,A,207.0,11.2,0.0,0.0,0.0,0.0,0.0137,0.0,0.0,0.0,0.0063,0.0,0.12855
land rover,"freelander 2 2,0 lts. dohc station wagon 5p. 4x4 t/a motor otto",LR4958E50713S00-7,2013-01-04,5.0806,2013,liviano,ice,96.899.100-0,DITE968991000,euro 5,lpo,2505.0,A,224.0,10.4,0.0,0.0,0.0,0.0,0.02255,0.0,0.0,0.0,0.00415,0.0,0.22645
piaggio,"porter maxxi tipper long deck 1,3 lts. dohc pick up 2p. t/m motor otto",GG4944E51212S00-0,2013-01-07,3.7278,2013,liviano,ice,,,euro 5,cc1o,2200.0,M,227.0,10.3,0.0,0.0,0.0,0.0,0.0221,0.0,0.0,0.0,0.0152,0.0,0.306
piaggio,"porter maxxi chasis cabina 1,3 lts. dohc pick up 2p. t/m motor otto",GG4944E51212S01-4,2013-01-07,3.7278,2013,liviano,ice,,,euro 5,cc1o,2200.0,M,227.0,10.3,0.0,0.0,0.0,0.0,0.0221,0.0,0.0,0.0,0.0152,0.0,0.306
piaggio,"porter maxxi pick up 1,3 lts. dohc pick up 2p. t/m motor otto",GG4944E51212S02-8,2013-01-07,3.7278,2013,liviano,ice,,,euro 5,cc1o,2200.0,M,227.0,10.3,0.0,0.0,0.0,0.0,0.0221,0.0,0.0,0.0,0.0152,0.0,0.306
piaggio,"porter maxxi short tipper 1,3 lts. dohc pick up 2p. t/m motor otto",GG4944E51212S03-1,2013-01-07,3.7278,2013,liviano,ice,,,euro 5,cc1o,2200.0,M,227.0,10.3,0.0,0.0,0.0,0.0,0.0221,0.0,0.0,0.0,0.0152,0.0,0.306
haima,"new 3 cvt 1,6 lts. dohc sedan 4p. t/a motor otto",HI4934E41112S,2013-01-07,4.5501,2013,liviano,ice,79.649.140-K,GILD79649140K,euro 4,lpo,1665.0,A,200.0,11.9,0.0,0.0,0.0,0.0,0.03335,0.0,0.0,0.0,0.0045,0.0,0.38785
haima,"new 3 cvt 1,6 lts. dohc hatchback 5p. t/a motor otto",HI4934E41112S,2013-01-07,4.5501,2013,liviano,ice,79.649.140-K,GILD79649140K,euro 4,lpo,1665.0,A,200.0,11.9,0.0,0.0,0.0,0.0,0.03335,0.0,0.0,0.0,0.0045,0.0,0.38785
brilliance,"v5 1,6 lts. dohc station wagon 5p. t/m motor otto",BR4973E41212S,2013-01-08,4.734,2013,liviano,ice,79.649.140-K,GILD79649140K,euro 4,lpo,1630.0,M,177.0,13.4,0.0,0.0,0.0,0.0,0.0249,0.0,0.0,0.0,0.00595,0.0,0.18425
brilliance,"euphoria (h530) 1,6 lts. dohc sedan 4p. t/m motor otto",BR4957E41212S,2013-01-08,4.8303,2013,liviano,ice,79.649.140-K,GILD79649140K,euro 4,lpo,1630.0,M,172.0,13.8,0.0,0.0,0.0,0.0,0.02165,0.0,0.0,0.0,0.0106,0.0,0.1814
brilliance,"euphoria (h530) 1,6 lts. dohc hatchback 5p. t/m motor otto",BR4957E41212S,2013-01-08,4.8303,2013,liviano,ice,79.649.140-K,GILD79649140K,euro 4,lpo,1630.0,M,172.0,13.8,0.0,0.0,0.0,0.0,0.02165,0.0,0.0,0.0,0.0106,0.0,0.1814
dodge,"dart sxt 2,0 lts. i4 dohc sedan 4p. t/a motor otto",DD4921T241112S00-9,2013-01-16,4.943787,2013,liviano,ice,,,tier 2 b4,lpo,1944.0,A,217.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.001,0.405
dodge,"dart limited 2,0 lts. i4 dohc sedan 4p. t/a motor otto",DD4921T241112S01-3,2013-01-16,4.943787,2013,liviano,ice,,,tier 2 b4,lpo,1944.0,A,217.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.001,0.405
dodge,"dart se 2,0 lts. i4 dohc sedan 4p. t/a motor otto",DD4921T241112S02-8,2013-01-16,4.943787,2013,liviano,ice,,,tier 2 b4,lpo,1944.0,A,217.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.001,0.405
fiat,"fiorino cargo city 1,2 lts. dohc furgon 5p. t/m motor diesel",FT4966E51112S00-3,2013-01-08,4.312308,2013,liviano,ice,,,euro 5,cc1d,1700.0,M,144.0,16.01,0.0,0.0016,0.0,0.0,0.0,0.1993,0.0,0.0,0.0791,0.0,0.15895
ram,"ram van 700 city 1,2 lts. furgon 5p. t/m diesel",RM4966E51117S00-7,2017-11-22,4.312308,2017,liviano,ice,96.861.240-9,ASTA968612409,euro 5,cc1d,1700.0,M,144.0,16.01,0.0,0.0016,0.0,0.0,0.0,0.1993,0.0,0.0,0.0791,0.0,0.15895
mitsubishi,"montero sport g2 2,5 lts. dohc 16v station wagon 5p. t/m motor diesel",MT4954E5121400-4,2013-01-09,5.082,2013,mediano,ice,,,euro 5,mc3d,2710.0,M,225.0,10.18,0.0,0.000515,0.0,0.0,0.0,0.19783,0.0,0.0,0.07896,0.0,0.10108
mitsubishi,"l200 dakar crs hp 2,5 lts. crdi 16v dohc pick up doble cabina 4p. 4x4 t/m motor diesel",MT4953E5111200-8,2013-01-10,5.25,2013,mediano,ice,,,euro 5,mc3d,2850.0,M,236.0,9.74,0.0,0.00185,0.0,0.0,0.0,0.2195,0.0,0.0,0.0911,0.0,0.06855
mitsubishi,"montero sport g2 2,5 lts. dohc 16v station wagon 5p. t/m motor diesel",MT4950E5111200-1,2013-01-10,5.082,2013,mediano,ice,,,euro 5,mc3d,2710.0,M,233.0,9.83,0.0,0.0012,0.0,0.0,0.0,0.2273,0.0,0.0,0.096,0.0,0.10195
