,CODIGO_INFORME_TECNICO,PHEV_AUTO_INTERURB_CS_MANTEN_CARGA_WLTC_VH_CONSUM_COMBUSTIBLE_KML,MODELO,AUTOP_PHEV_RURAL_CS_MANTEN_CARGA_WLTC_VH_CONSUM_COMBUSTIBLE_KML,FECHA_HOML,HCHO_EMISION_EPA_MGKM,URB_REND_WLTC_KML,PHEV_REND_COMBUSTIBLE_VH_PONDERADO_KML,PESO_BRUTO_VH_KG,POND_PHEV_EMIS_CO2_WLTC_VH_GKM,PHEV_REND_EV_CONSUM_PONDERADO_CD_CARGA_VH_WLTC_WHKM,CO2_VH_GASOL_GLP_GNC_GRKM,COMB_PHEV_CS_MANTEN_CARGA_WLTC_VH_CONSUM_COMBUSTIBLE_KML,EV_PHEV_REND_VH_PONDERADO_KMKWH,URB_AUTOP_PHEV_CS_MANTEN_CARGA_WLTC_VH_CONSUM_COMBUSTIBLE_KML,REND_LOW_H2_KG_100_KM_FCEV_VH_CELDA,NMOG_EMISION_EPA_GKM,AUTOP_PHEV_RURAL_CD_CONSUM_CARGA_WLTC_VH_COMBUSTIBLE_KML,TRANSMISION,MIXTO_CO2_VH_GASOL_GLP_GNC_GRKM,PHEV_REND_EV_CONSUM_PONDERADO_CS_MANTEN_CARGA_VH_WLTC_WHKM,MIXTO_REND_COMBUSTIBLE_KML,PHEV_PONDERADO_CS_MANTEN_CARGA_WLTC_VH_CONSUM_COMBUSTIBLE_KML,COMB_PHEV_REND_EV_CONSUM_CD_CARGA_VH_WLTC_WHKM,EV_MOTOR_POT_MAX_KW,TIPO_CARROCERIA,CILINDRADA_LTS,CARRETERA_REND_COMBUSTIBLE_KML,REND_HIGHT_H2_KG_100_KM_FCEV_VH_CELDA,ANCHO_VH_MM,EMISION_NPS_KM_EU_KM,REND_EV_PHEV_CD_CONSUM_CARGA_VH_WLTC_KMKWH,CARRETERA_REND_GASOL_VH_GLP_GNC_KML,CIUDAD_REND_COMBUSTIBLE_KML,REND_EV_PHEV_PONDERADO_CS_MANTEN_CARGA_VH_WLTC_CONSUM_KMKWH,NOX_EMISION_EPA_GKM,CO2_PHEV_REND_PONDERADO_VH_GKM,HC_NOX_EMISION_EU_GKM,FOOT_PRINT_MT2,EMIS_NORMA,CIUDAD_REND_GLP_GNC_VH_GASOL_KML,NOX_EMISION_EU_GKM,PHEV_PONDERADO_CD_CONSUM_CARGA_WLTC_VH_COMBUSTIBLE_KML,COMB_PHEV_REND_EV_CONSUM_CS_MANTEN_CARGA_VH_WLTC_WHKM,HCHO_EMISION_EU_MGKM,IMPORTADOR,CIUDAD_REND_GASOL_VH_GLP_GNC_KML,CATEGORIA_VH,HC_EMISION_EU_GKM,URB_PHEV_CD_CONSUM_CARGA_WLTC_VH_COMBUSTIBLE_KML,DIST_EJES_MM,COMB_REND_WLTC_KML,AUTOP_REND_RURAL_WLTC_KML,REND_EV_PHEV_CS_MANTEN_CARGA_VH_WLTC_CONSUM_KMKWH,MP_EMISION_MASA_PARTICULAS_EU_GKM,COMB_CS_PHEV_EMIS_CO2_WLTC_VH_GKM,PROPULSION,CARRETERA_REND_GLP_GNC_VH_GASOL_KML,EMIS_CO2_GKM,COMB_CD_PHEV_EMIS_CO2_WLTC_VH_GKM,PHEV_AUTO_INTERURB_CD_CONSUM_CARGA_WLTC_VH_COMBUSTIBLE_KML,CO_EMISION_EU_GKM,EV_MOTOR_POT_MAX_KW_1,MIXTO_REND_GASOL_VH_GLP_GNC_KML,CERT,CO2_COMB_GKM,REND_AUTO_INTERURB_WLTC_KML,URB_AUTOP_REND_URBANA_WLTC_KML,MARCA,REND_EV_VH_KMKWH,HCNM_EMISION_EPA_GKM,HCNM_EMISION_EU_GKM,NMOG_NOX_EMISION_EPA,HC_EMISION_EPA_GKM,N2O_EMISION_EPA,URB_AUTOP_PHEV_CD_CONSUM_CARGA_WLTC_VH_COMBUSTIBLE_KML,REND_EV_PHEV_PONDERADO_CD_CONSUM_CARGA_VH_WLTC_KMKWH,URB_PHEV_CS_MANTEN_CARGA_WLTC_VH_CONSUM_COMBUSTIBLE_KML,COMBUSTIBLE,MIXTO_REND_GLP_GNC_VH_GASOL_KML,NMOG_EMISION_EU_GKM,CO_EMISION_EPA_GKM,ART_DS_MTT_ESTD_SUP,MP_EMISION_EPA_MASA_PARTICULAS_GKM,COMB_PHEV_CD_CONSUM_CARGA_WLTC_VH_COMBUSTIBLE_KML,AÑO,CATEGORIA_PROPULSION,TIPO_LDV,REND_EQUIV_KML,EMIS_CO2_EQUIV,N2O_GKM,MP_GKM,NP,HCHO_MGKM,HC_GKM,HC_NOX_GKM,HCNM_GKM,NMOG_NOX_GKM,NOX_GKM,NMOG_GKM,CO_GKM,RUT,IMP_COD
5,JG4949E51212S00-8,-,"xf 2,2 lts. dohc sedan 4p. t/a motor diesel",-,2013-01-04,,-,-,2320.0,-,-,,-,-,-,,,-,A,-,-,19.2,-,-,-,sedan,2.2,21.3,-,1877,,-,-,16.1,-,,,0.1644,5.460193,euro 5,-,0.1541,-,-,,Comercializadora Ditec Automóviles SA,-,lpd,,-,2909,,-,-,0.0023,-,combustion,-,139.0,-,-,0.12,-,,C.H. 3299,-,-,-,jaguar,,,-,,,,-,-,-,diesel,-,,,,,-,2013,ice,liviano,16.7,139.0,0.0,0.00115,0.0,0.0,0.0,0.1644,0.0,0.0,0.07705,0.0,0.06,96.899.100-0,DITE968991000
6,JG4948E50713S00-0,-,"xf 2,0t lts. dohc sedan 4p. t/a motor otto",-,2013-01-04,,-,-,2230.0,-,-,,-,-,-,,,-,A,-,-,11.2,-,-,-,sedan,2,16.1,-,1877,,-,-,7.5,-,,,,5.460193,euro 5,-,0.0126,-,-,,Comercializadora Ditec Automóviles SA,-,lpo,0.0274,-,2909,,-,-,,-,combustion,-,207.0,-,-,0.2571,-,,C.H. 3300,-,-,-,jaguar,,,0.0238,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,11.2,207.0,0.0,0.0,0.0,0.0,0.0137,0.0,0.0,0.0,0.0063,0.0,0.12855,96.899.100-0,DITE968991000
7,LR4958E50713S00-7,-,"freelander 2 2,0 lts. dohc station wagon 5p. 4x4 t/a motor otto",-,2013-01-04,,-,-,2505.0,-,-,,-,-,-,,,-,A,-,-,10.4,-,-,-,station wagon,2,13.3,-,1910,,-,-,7.4,-,,,,5.0806,euro 5,-,0.0083,-,-,,Comercializadora Ditec Automóviles SA,-,lpo,0.0451,-,2660,,-,-,,-,combustion,-,224.0,-,-,0.4529,-,,C.H. 3301,-,-,-,land rover,,,0.0399,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,10.4,224.0,0.0,0.0,0.0,0.0,0.02255,0.0,0.0,0.0,0.00415,0.0,0.22645,96.899.100-0,DITE968991000
8,GG4944E51212S00-0,-,"porter maxxi tipper long deck 1,3 lts. dohc pick up 2p. t/m motor otto",-,2013-01-07,,-,-,2200.0,-,-,,-,-,-,,,-,M,-,-,10.3,-,-,-,camioneta,1.3,13.2,-,1710,,-,-,7.4,-,,,,3.7278,euro 5,-,0.0304,-,-,,innovacion tecnologica para la calefaccion y climatizacion y vehiculos italia s.p.a.,-,cc1o,0.0442,-,2180,,-,-,,-,combustion,-,227.0,-,-,0.612,-,,C.H. 3302,-,-,-,piaggio,,,0.0403,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,10.3,227.0,0.0,0.0,0.0,0.0,0.0221,0.0,0.0,0.0,0.0152,0.0,0.306,,
9,GG4944E51212S01-4,-,"porter maxxi chasis cabina 1,3 lts. dohc pick up 2p. t/m motor otto",-,2013-01-07,,-,-,2200.0,-,-,,-,-,-,,,-,M,-,-,10.3,-,-,-,camioneta,1.3,13.2,-,1710,,-,-,7.4,-,,,,3.7278,euro 5,-,0.0304,-,-,,innovacion tecnologica para la calefaccion y climatizacion y vehiculos italia s.p.a.,-,cc1o,0.0442,-,2180,,-,-,,-,combustion,-,227.0,-,-,0.612,-,,C.H. 3302,-,-,-,piaggio,,,0.0403,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,10.3,227.0,0.0,0.0,0.0,0.0,0.0221,0.0,0.0,0.0,0.0152,0.0,0.306,,
10,GG4944E51212S02-8,-,"porter maxxi pick up 1,3 lts. dohc pick up 2p. t/m motor otto",-,2013-01-07,,-,-,2200.0,-,-,,-,-,-,,,-,M,-,-,10.3,-,-,-,camioneta,1.3,13.2,-,1710,,-,-,7.4,-,,,,3.7278,euro 5,-,0.0304,-,-,,innovacion tecnologica para la calefaccion y climatizacion y vehiculos italia s.p.a.,-,cc1o,0.0442,-,2180,,-,-,,-,combustion,-,227.0,-,-,0.612,-,,C.H. 3302,-,-,-,piaggio,,,0.0403,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,10.3,227.0,0.0,0.0,0.0,0.0,0.0221,0.0,0.0,0.0,0.0152,0.0,0.306,,
11,GG4944E51212S03-1,-,"porter maxxi short tipper 1,3 lts. dohc pick up 2p. t/m motor otto",-,2013-01-07,,-,-,2200.0,-,-,,-,-,-,,,-,M,-,-,10.3,-,-,-,camioneta,1.3,13.2,-,1710,,-,-,7.4,-,,,,3.7278,euro 5,-,0.0304,-,-,,innovacion tecnologica para la calefaccion y climatizacion y vehiculos italia s.p.a.,-,cc1o,0.0442,-,2180,,-,-,,-,combustion,-,227.0,-,-,0.612,-,,C.H. 3302,-,-,-,piaggio,,,0.0403,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,10.3,227.0,0.0,0.0,0.0,0.0,0.0221,0.0,0.0,0.0,0.0152,0.0,0.306,,
12,HI4934E41112S,-,"new 3 cvt 1,6 lts. dohc sedan 4p. t/a motor otto",-,2013-01-07,,-,-,1665.0,-,-,,-,-,-,,,-,A,-,-,11.9,-,-,-,sedan,1.6,14.4,-,1740,,-,-,9.1,-,,,,4.5501,euro 4,-,0.009,-,-,,Automotores Gildemeister SPA,-,lpo,0.0667,-,2615,,-,-,,-,combustion,-,200.0,-,-,0.7757,-,,C.H. 3303,-,-,-,haima,,,-,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,11.9,200.0,0.0,0.0,0.0,0.0,0.03335,0.0,0.0,0.0,0.0045,0.0,0.38785,79.649.140-K,GILD79649140K
13,HI4934E41112S,-,"new 3 cvt 1,6 lts. dohc hatchback 5p. t/a motor otto",-,2013-01-07,,-,-,1665.0,-,-,,-,-,-,,,-,A,-,-,11.9,-,-,-,hatchback,1.6,14.4,-,1740,,-,-,9.1,-,,,,4.5501,euro 4,-,0.009,-,-,,Automotores Gildemeister SPA,-,lpo,0.0667,-,2615,,-,-,,-,combustion,-,200.0,-,-,0.7757,-,,C.H. 3303,-,-,-,haima,,,-,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,11.9,200.0,0.0,0.0,0.0,0.0,0.03335,0.0,0.0,0.0,0.0045,0.0,0.38785,79.649.140-K,GILD79649140K
14,BR4973E41212S,-,"v5 1,6 lts. dohc station wagon 5p. t/m motor otto",-,2013-01-08,,-,-,1630.0,-,-,,-,-,-,,,-,M,-,-,13.4,-,-,-,station wagon,1.6,16.4,-,1800,,-,-,10.3,-,,,,4.734,euro 4,-,0.0119,-,-,,Automotores Gildemeister SPA,-,lpo,0.0498,-,2630,,-,-,,-,combustion,-,177.0,-,-,0.3685,-,,C.H. 3304,-,-,-,brilliance,,,-,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,13.4,177.0,0.0,0.0,0.0,0.0,0.0249,0.0,0.0,0.0,0.00595,0.0,0.18425,79.649.140-K,GILD79649140K
